Channel Id,Channel Url,Channel Title
UCZSC7wgBq3RSLKoJDfGL0Rg,http://www.youtube.com/channel/UCZSC7wgBq3RSLKoJDfGL0Rg,NoahExplainsPhysics
UCZYTClx2T1of7BRZ86-8fow,http://www.youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow,SciShow
UC_SvYP0k05UKiJ_2ndB02IA,http://www.youtube.com/channel/UC_SvYP0k05UKiJ_2ndB02IA,blackpenredpen
UCciQ8wFcVoIIMi-lfu8-cjQ,http://www.youtube.com/channel/UCciQ8wFcVoIIMi-lfu8-cjQ,Anton Petrov
UCcs0ZkP_as4PpHDhFcmCHyA,http://www.youtube.com/channel/UCcs0ZkP_as4PpHDhFcmCHyA,mikeselectricstuff
UCduKuJToxWPizJ7I2E6n1kA,http://www.youtube.com/channel/UCduKuJToxWPizJ7I2E6n1kA,BroScienceLife
UCeO18n9AxKQS0BQfL6AamQw,http://www.youtube.com/channel/UCeO18n9AxKQS0BQfL6AamQw,Epic Light Media
UCeiYXex_fwgYDonaTcSIk6w,http://www.youtube.com/channel/UCeiYXex_fwgYDonaTcSIk6w,MinuteEarth
UCivA7_KLKWo43tFcCkFvydw,http://www.youtube.com/channel/UCivA7_KLKWo43tFcCkFvydw,Applied Science
UCkS_HP3m9NXOgswVAKbMeJQ,http://www.youtube.com/channel/UCkS_HP3m9NXOgswVAKbMeJQ,Then & Now
UCkUqsfGFBCDJYQpixh0Wxww,http://www.youtube.com/channel/UCkUqsfGFBCDJYQpixh0Wxww,Rob Ellis
UCkyfHZ6bY2TjqbJhiH8Y2QQ,http://www.youtube.com/channel/UCkyfHZ6bY2TjqbJhiH8Y2QQ,thebrainscoop
UClqhvGmHcvWL9w3R48t9QXQ,http://www.youtube.com/channel/UClqhvGmHcvWL9w3R48t9QXQ,Engineering Explained
UCmmPgObSUPw1HL2lq6H4ffA,http://www.youtube.com/channel/UCmmPgObSUPw1HL2lq6H4ffA,Geography Now
UCo-3ThNQmPmQSQL_L6Lx1_w,http://www.youtube.com/channel/UCo-3ThNQmPmQSQL_L6Lx1_w,DeepSkyVideos
UCor9SN3lpO-BT2aBvAwBptw,http://www.youtube.com/channel/UCor9SN3lpO-BT2aBvAwBptw,Junkie XL
UCoxcjq-8xIDTYp3uz647V5A,http://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,Numberphile
UCp11sn-DcMSHl8KE1cqwn6w,http://www.youtube.com/channel/UCp11sn-DcMSHl8KE1cqwn6w,Wandering DP
UCsXVk37bltHxD1rDPwtNM8Q,http://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell
UCsooa4yRKGN_zEE8iknghZA,http://www.youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA,TED-Ed
UCtAIs1VCQrymlAnw3mGonhw,http://www.youtube.com/channel/UCtAIs1VCQrymlAnw3mGonhw,Flammable Maths
